# DM-e- with heavy mediator and QCDark
mass_ev,limit90CL_cm2
7.54374000e+05,7.92501319e-25
8.00000000e+05,9.89855035e-27
8.48575800e+05,6.56298270e-30
9.00000000e+05,3.58771123e-31
1.00000000e+06,3.29982077e-32
1.20000000e+06,1.00511196e-33
1.63780000e+06,2.80274285e-35
2.00000000e+06,4.52817065e-36
2.68269000e+06,3.65801096e-37
3.50000000e+06,6.80531065e-38
4.39397000e+06,3.00218915e-38
5.50000000e+06,1.65785678e-38
7.19680000e+06,1.02126212e-38
9.00000000e+06,8.06909273e-39
1.17876800e+07,7.02274038e-39
1.50000000e+07,6.59199612e-39
1.93069770e+07,6.66700909e-39
3.16227700e+07,7.74774093e-39
5.17947000e+07,1.05162243e-38
8.48342898e+07,1.52462187e-38
1.38949500e+08,2.39992564e-38
2.27584593e+08,3.81162582e-38
3.72759372e+08,6.07698418e-38
6.10540230e+08,9.75896987e-38
1.00000000e+09,1.58826637e-37
