masa,sigma_si
6.00,3.081E-44
7.00,7.318E-45
8.00,2.477E-45
9.00,1.072E-45
10.00,5.527E-46
11.00,3.248E-46
12.00,2.108E-46
13.00,1.477E-46
15.00,8.595E-47
17.00,5.866E-47
20.00,4.005E-47
23.00,3.16E-47
25.00,2.838E-47
26.00,2.719E-47
28.14,2.587E-47
30.00,2.616E-47
35.00,2.761E-47
40.00,2.96E-47
45.00,3.188E-47
50.00,3.431E-47
55.00,3.683E-47
60.00,3.939E-47
70.00,4.458E-47
75.00,4.722E-47
80.00,4.988E-47
90.00,5.527E-47
100.00,6.074E-47
125.00,7.468E-47
150.00,8.887E-47
200.00,1.176E-46
500.00,2.857E-46
1000.00,5.636E-46
10000.00,5.636E-45
