masa,sigma_si
6.833e+0,1.675e-44
7.034e+0,1.189e-44
7.288e+0,8.140e-45
7.490e+0,6.197e-45
7.737e+0,4.536e-45
7.983e+0,3.229e-45
8.252e+0,2.410e-45
8.595e+0,1.796e-45
8.876e+0,1.362e-45
9.350e+0,9.997e-46
1.002e+1,6.949e-46
1.070e+1,5.069e-46
1.161e+1,3.783e-46
1.240e+1,3.262e-46
1.371e+1,2.822e-46
1.622e+1,2.427e-46
1.982e+1,2.411e-46
2.341e+1,2.314e-46
2.770e+1,2.229e-46
3.278e+1,2.207e-46
3.879e+1,2.405e-46
4.589e+1,2.566e-46
5.430e+1,2.799e-46
6.486e+1,3.131e-46
7.504e+1,3.457e-46
8.996e+1,3.977e-46
1.065e+2,4.550e-46
1.260e+2,5.242e-46
1.490e+2,6.025e-46
1.764e+2,7.020e-46
2.087e+2,8.217e-46
2.469e+2,9.661e-46
2.922e+2,1.137e-45
3.457e+2,1.342e-45
4.091e+2,1.579e-45
4.840e+2,1.889e-45
5.727e+2,2.211e-45
6.777e+2,2.635e-45
8.019e+2,3.108e-45
9.488e+2,3.705e-45
1.123e+3,4.366e-45
1.328e+3,5.156e-45
1.572e+3,6.104e-45
1.860e+3,7.209e-45
2.201e+3,8.515e-45
2.604e+3,1.009e-44
3.081e+3,1.189e-44
3.646e+3,1.408e-44
4.314e+3,1.668e-44
5.105e+3,1.977e-44
6.041e+3,2.343e-44
7.148e+3,2.774e-44
8.458e+3,3.283e-44
9.780e+3,3.746e-44
